run,split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
hs128_lb1_V8215_ep15_lr0.001,Test,0.7398091934084996,0.096085409252669,0.3698630136986301,0.7648148148077333,0.1525423728813559,0.0843191250825395,0.6037163876204972
hs128_lb1_V8215_ep15_lr0.001,Null Train,0.656190734218369,0.1268337975858867,0.2936371453138435,0.7084754169503946,0.1771495266502399,0.127408994489568,0.5007865566032077
hs128_lb1_V8215_ep15_lr0.001,Null Val,0.6305290546400694,0.073109243697479,0.3320610687022901,0.6549890522344229,0.1198347107438016,0.0805948216352847,0.5094076746568229
hs128_lb1_V8215_ep15_lr0.001,Null Test,0.6539462272333044,0.0755208333333333,0.3972602739726027,0.6712962962900807,0.1269146608315098,0.0652451002281025,0.4967529173008624
hs128_lb1_V8216_ep15_lr0.001,Train,0.7875914386345164,0.276404942208051,0.8275656324582339,0.7835985458008322,0.4144009560800717,0.5310279321687659,0.8908608662578421
hs128_lb1_V8216_ep15_lr0.001,Val,0.7279560566637756,0.1301775147928994,0.3481012658227848,0.766146993316048,0.1894918173987941,0.1242584888483231,0.6181437955351856
hs128_lb1_V8216_ep15_lr0.001,Test,0.797918473547268,0.1304347826086956,0.3375,0.8322460391348347,0.1881533101045296,0.1324217725758207,0.6537511649580614
hs128_lb1_V8216_ep15_lr0.001,Null Train,0.7511243565429423,0.0901938746838999,0.191527446300716,0.8070206806121896,0.1226361031518624,0.090813139312038,0.4953588173704458
hs128_lb1_V8216_ep15_lr0.001,Null Val,0.7612026597282452,0.090032154340836,0.1772151898734177,0.8199172764848237,0.1194029850746268,0.0961161760399223,0.4985924115071869
hs128_lb1_V8216_ep15_lr0.001,Null Test,0.823937554206418,0.0510948905109489,0.0875,0.8788443615947918,0.064516129032258,0.0705011856631133,0.4919967381174278
hs128_lb1_V8226_ep15_lr0.001,Train,0.7798970468707668,0.4396612561750176,0.7377146240378922,0.7893480135300196,0.550961751050188,0.5926974807733149,0.8535907425757174
hs128_lb1_V8226_ep15_lr0.001,Val,0.6371783752529633,0.2422243166823751,0.3629943502824859,0.7077426390377763,0.29055963821368,0.2399549605366666,0.5764727053541907
hs128_lb1_V8226_ep15_lr0.001,Test,0.7658282740676496,0.2046511627906976,0.3076923076923077,0.830693069298706,0.2458100558659217,0.1854980698065504,0.6502942601952504
hs128_lb1_V8226_ep15_lr0.001,Null Train,0.6275806014630182,0.1804717498628634,0.2921847246891652,0.7027260064995007,0.223126483553747,0.1809087978243158,0.4983884482785093
hs128_lb1_V8226_ep15_lr0.001,Null Val,0.6227233304423244,0.1957186544342507,0.2711864406779661,0.7131952017422276,0.2273534635879218,0.2021035955596814,0.5002307840805706
hs128_lb1_V8226_ep15_lr0.001,Null Test,0.7207285342584562,0.1158798283261802,0.1888111888111888,0.7960396039525145,0.1436170212765957,0.1229413185678919,0.4893720141244894
hs128_lb1_V8227_ep15_lr0.001,Train,0.7939853698184773,0.2943514644351464,0.7663398692810458,0.797039533064085,0.4253325272067714,0.5093580067902894,0.8690698043463129
hs128_lb1_V8227_ep15_lr0.001,Val,0.7409655969933506,0.12981455064194,0.2413793103448276,0.8020765736508694,0.1688311688311688,0.1311892617647557,0.5853212888389331
hs128_lb1_V8227_ep15_lr0.001,Test,0.8222029488291414,0.0879120879120879,0.2909090909090909,0.8488160291361675,0.1350210970464135,0.079576069650119,0.697665176353701
hs128_lb1_V8227_ep15_lr0.001,Null Train,0.7276076943917638,0.1030106991789002,0.2254901960784313,0.7830796076774877,0.1414175918018787,0.1005995403675044,0.5054368729861521
hs128_lb1_V8227_ep15_lr0.001,Null Val,0.6802544087886673,0.1276813074565883,0.3315649867374005,0.7229072031125149,0.1843657817109144,0.1178872582782296,0.5235921075053748
hs128_lb1_V8227_ep15_lr0.001,Null Test,0.777103209019948,0.0530973451327433,0.2181818181818181,0.8051001821420302,0.0854092526690391,0.0561399490328447,0.5440304686206326
hs128_lb1_V8228_ep15_lr0.001,Train,0.8108913573557301,0.1144781144781144,0.8615984405458089,0.8094415338307828,0.202103337905807,0.3484588299248556,0.919518448333519
hs128_lb1_V8228_ep15_lr0.001,Val,0.7892454466608847,0.0215827338129496,0.234375,0.7997054491876298,0.0395256916996047,0.0225376724698789,0.5720636966126657
hs128_lb1_V8228_ep15_lr0.001,Test,0.849956634865568,0.0061349693251533,0.0833333333333333,0.858019281324645,0.0114285714285714,0.0119627840003623,0.5528045574057844
hs128_lb1_V8228_ep15_lr0.001,Null Train,0.8336494175020319,0.0266567937800814,0.1403508771929824,0.8534722996316723,0.044803982576229,0.0302646670888711,0.5086511160175423
hs128_lb1_V8228_ep15_lr0.001,Null Val,0.8363688927435675,0.03690036900369,0.3125,0.8462444771698197,0.066006600660066,0.0552741811843318,0.606931148748159
hs128_lb1_V8228_ep15_lr0.001,Null Test,0.8551604509973981,0.0063694267515923,0.0833333333333333,0.8632778264604446,0.0118343195266272,0.0111902422424367,0.4802074203914694
